Franchise,Rank,Release,Lifetime_Gross,Max_Theaters,Opening_Gross,Open_Theaters,Release_Date,Distributor
Middle Earth,1,The Lord of the Rings: The Return of the King,377027325.0,3703.0,72629713.0,"3,703","Dec 17, 2003",New Line Cinema
Middle Earth,2,The Lord of the Rings: The Two Towers,339789881.0,3622.0,62007528.0,"3,622","Dec 18, 2002",New Line Cinema
Middle Earth,3,The Lord of the Rings: The Fellowship of the Ring,313364114.0,3381.0,47211490.0,"3,359","Dec 19, 2001",New Line Cinema
Middle Earth,4,The Hobbit: An Unexpected Journey,303003568.0,4100.0,84617303.0,"4,045","Dec 14, 2012",Warner Bros.
Middle Earth,5,The Hobbit: The Desolation of Smaug,258366855.0,3928.0,73645197.0,"3,903","Dec 13, 2013",Warner Bros.
Middle Earth,6,The Hobbit: The Battle of the Five Armies,255119788.0,3875.0,54724334.0,"3,875","Dec 17, 2014",Warner Bros.
Middle Earth,7,The Lord of the Rings: The Two Towers2003 Re-release,1996877.0,126.0,727645.0,126,"Dec 12, 2003",New Line Cinema
Middle Earth,8,The Lord of the Rings: The Fellowship of the Ring2003 Extended Edition,1412056.0,126.0,473463.0,126,"Dec 5, 2003",New Line Cinema
Middle Earth,9,The Lord of the Rings: The Return of the King2011 Re-release,818580.0,521.0,,-,"Jun 28, 2011",Warner Bros.
Middle Earth,10,The Lord of the Rings: The Fellowship of the Ring2011 Re-release,768580.0,522.0,,-,"Jun 14, 2011",Warner Bros.
Middle Earth,11,The Lord of the Rings: The Two Towers2011 Re-release,764607.0,522.0,,-,"Jun 21, 2011",Warner Bros.
The Fast and the Furious,1,Furious 7,353007020.0,4022.0,147187040.0,"4,004","Apr 3, 2015",Universal Pictures
The Fast and the Furious,2,Fast & Furious 6,238679850.0,3771.0,97375245.0,"3,658","May 24, 2013",Universal Pictures
The Fast and the Furious,3,The Fate of the Furious,226008385.0,4329.0,98786705.0,"4,310","Apr 14, 2017",Universal Pictures
The Fast and the Furious,4,Fast Five,209837675.0,3793.0,86198765.0,"3,644","Apr 29, 2011",Universal Pictures
The Fast and the Furious,5,Fast & Furious Presents: Hobbs & Shaw,173956935.0,4344.0,60038950.0,"4,253","Aug 2, 2019",Universal Pictures
The Fast and the Furious,6,Fast & Furious,155064265.0,3674.0,70950500.0,"3,461","Apr 3, 2009",Universal Pictures
The Fast and the Furious,7,The Fast and the Furious,144533925.0,2899.0,40089015.0,"2,628","Jun 22, 2001",Universal Pictures
The Fast and the Furious,8,2 Fast 2 Furious,127154901.0,3418.0,50472480.0,"3,408","Jun 6, 2003",Universal Pictures
The Fast and the Furious,9,The Fast and the Furious: Tokyo Drift,62514415.0,3030.0,23973840.0,"3,027","Jun 16, 2006",Universal Pictures
The Fast and the Furious,-,F9,,,,-,"Apr 2, 2021",Universal Pictures
The Fast and the Furious,-,Fast & Furious 10,,,,-,"Apr 2, 2021",Universal Pictures
Transformers,1,Transformers: Revenge of the Fallen,402111870.0,4293.0,108966307.0,"4,234","Jun 24, 2009",DreamWorks
Transformers,2,Transformers: Dark of the Moon,352390543.0,4088.0,97852865.0,"4,088","Jun 29, 2011",DreamWorks
Transformers,3,Transformers,319246193.0,4050.0,70502384.0,"4,011","Jul 3, 2007",DreamWorks
Transformers,4,Transformers: Age of Extinction,245439076.0,4233.0,100038390.0,"4,233","Jun 27, 2014",Paramount Pictures
Transformers,5,Transformers: The Last Knight,130168683.0,4132.0,44680073.0,"4,069","Jun 21, 2017",Paramount Pictures
Transformers,6,Bumblebee,127195589.0,3597.0,21654047.0,"3,550","Dec 21, 2018",Paramount Pictures
Transformers,7,The Transformers: The Movie,5849647.0,990.0,1779559.0,990,"Aug 8, 1986",De Laurentiis Entertainment Group (DEG)
Pirates of the Caribbean,1,Pirates of the Caribbean: Dead Man's Chest,423315812.0,4133.0,135634554.0,"4,133","Jul 7, 2006",Walt Disney Studios Motion Pictures
Pirates of the Caribbean,2,Pirates of the Caribbean: At World's End,309420425.0,4362.0,114732820.0,"4,362","May 25, 2007",Walt Disney Studios Motion Pictures
Pirates of the Caribbean,3,Pirates of the Caribbean: The Curse of the Black Pearl,305413918.0,3416.0,46630690.0,"3,269","Jul 9, 2003",Walt Disney Studios Motion Pictures
Pirates of the Caribbean,4,Pirates of the Caribbean: On Stranger Tides,241071802.0,4164.0,90151958.0,"4,155","May 20, 2011",Walt Disney Studios Motion Pictures
Pirates of the Caribbean,5,Pirates of the Caribbean: Dead Men Tell No Tales,172558876.0,4276.0,62983253.0,"4,276","May 26, 2017",Walt Disney Studios Motion Pictures
The Hunger Games,1,The Hunger Games: Catching Fire,424668047.0,4163.0,158074286.0,"4,163","Nov 22, 2013",Lionsgate
The Hunger Games,2,The Hunger Games,408010692.0,4137.0,152535747.0,"4,137","Mar 23, 2012",Lionsgate
The Hunger Games,3,The Hunger Games: Mockingjay - Part 1,337135885.0,4151.0,121897634.0,"4,151","Nov 21, 2014",Lionsgate
The Hunger Games,4,The Hunger Games: Mockingjay - Part 2,281723902.0,4175.0,102665981.0,"4,175","Nov 20, 2015",Lionsgate
Shrek,1,Shrek 2,441226247.0,4223.0,108037878.0,"4,163","May 19, 2004",DreamWorks Distribution
Shrek,2,Shrek the Third,322719944.0,4172.0,121629270.0,"4,122","May 18, 2007",DreamWorks
Shrek,3,Shrek,267665011.0,3715.0,42347760.0,"3,587","May 16, 2001",DreamWorks Distribution
Shrek,4,Shrek Forever After,238736787.0,4386.0,70838207.0,"4,359","May 21, 2010",DreamWorks
Shrek,5,Puss in Boots,149260504.0,3963.0,34077439.0,"3,952","Oct 28, 2011",DreamWorks
Star Trek,1,Star Trek,257730019.0,4053.0,75204289.0,"3,849","May 8, 2009",Paramount Pictures
Star Trek,2,Star Trek Into Darkness,228778661.0,3907.0,70165559.0,"3,868","May 16, 2013",Paramount Pictures
Star Trek,3,Star Trek Beyond,158848340.0,3928.0,59253211.0,"3,928","Jul 22, 2016",Paramount Pictures
Star Trek,4,Star Trek IV: The Voyage Home,109713132.0,1956.0,16881888.0,"1,349","Nov 26, 1986",Paramount Pictures
Star Trek,5,Star Trek: First Contact,92027888.0,2812.0,30716131.0,"2,812","Nov 22, 1996",Paramount Pictures
Star Trek,6,Star Trek,82258456.0,1002.0,11926421.0,857,"Dec 7, 1979",Paramount Pictures
Star Trek,7,Star Trek II: The Wrath of Khan,78912963.0,1621.0,14347221.0,"1,621","Jun 4, 1982",Paramount Pictures
Star Trek,8,Star Trek III: The Search for Spock,76471046.0,1966.0,16673295.0,"1,966","Jun 1, 1984",Paramount Pictures
Star Trek,9,Star Trek: Generations,75671125.0,2681.0,23116394.0,"2,659","Nov 18, 1994",Paramount Pictures
Star Trek,10,Star Trek VI: The Undiscovered Country,74888996.0,2147.0,18162837.0,"1,804","Dec 6, 1991",Paramount Pictures
Star Trek,11,Star Trek: Insurrection,70187658.0,2677.0,22052836.0,"2,620","Dec 11, 1998",Paramount Pictures
Star Trek,12,Star Trek V: The Final Frontier,52210049.0,2202.0,17375648.0,"2,202","Jun 9, 1989",Paramount Pictures
Star Trek,13,Star Trek: Nemesis,43254409.0,2711.0,18513305.0,"2,711","Dec 13, 2002",Paramount Pictures
Star Trek,14,Star Trek2019 Re-release,346243.0,627.0,220007.0,627,"Sep 15, 2019",Fathom Events
Twilight,1,The Twilight Saga: Eclipse,300531751.0,4468.0,64832191.0,"4,468","Jun 30, 2010",Summit Entertainment
Twilight,2,The Twilight Saga: New Moon,296623634.0,4124.0,142839137.0,"4,024","Nov 20, 2009",Summit Entertainment
Twilight,3,The Twilight Saga: Breaking Dawn - Part 2,292324737.0,4070.0,141067634.0,"4,070","Nov 16, 2012",Lionsgate
Twilight,4,The Twilight Saga: Breaking Dawn - Part 1,281287133.0,4066.0,138122261.0,"4,061","Nov 18, 2011",Summit Entertainment
Twilight,5,Twilight,192769854.0,3649.0,69637740.0,"3,419","Nov 21, 2008",Summit Entertainment
Twilight,6,Twilight/The Twilight Saga: New Moon,2385237.0,2037.0,,-,"Jun 29, 2010",Summit Entertainment
Twilight,6,Twilight/The Twilight Saga: New Moon,2385237.0,2037.0,,-,"Jun 29, 2010",Summit Entertainment
